district,person_id,councildist,last_name,first_name,photo_url,facebook_url,twitter_url,twitter_handle,instagram_url,instagram_handle,party,title,gender,city_council_url,city_council_committees_url,city_council_legislation_url,city_council_council_calendar_url
22,7627,NYCC22,Constantinides,Costa,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-22.jpg,https://www.facebook.com/costaforastoria,https://twitter.com/Costa4NY,Costa4NY,https://www.instagram.com/costa4ny/,costa4ny,democrat,council-member,male,https://council.nyc.gov/district-22,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
23,7691,NYCC23,Grodenchik,Barry,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-23.jpg,https://www.facebook.com/bgrodenchik,https://twitter.com/barrygrodenchik,barrygrodenchik,,,democrat,council-member,male,https://council.nyc.gov/district-23,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
24,7633,NYCC24,Lancman,Rory,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-24.jpg,https://www.facebook.com/RoryLancman,https://twitter.com/RoryLancman,RoryLancman,https://www.instagram.com/rorylancman/,rorylancman,democrat,council-member,male,https://council.nyc.gov/district-24,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
25,7563,NYCC25,Dromm,Daniel,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-25.jpg,https://www.facebook.com/Daniel-Dromm-18241697139,https://twitter.com/dromm25,dromm25,https://www.instagram.com/dromm25/,dromm25,democrat,council-member,male,https://council.nyc.gov/district-25,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
26,7569,NYCC26,Van Bramer,Jimmy,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-26.jpg,https://www.facebook.com/Jimmy-Van-Bramer-125696285699,https://twitter.com/JimmyVanBramer,JimmyVanBramer,https://www.instagram.com/jimmyvanbramer/,jimmyvanbramer,democrat,council-member,male,https://council.nyc.gov/district-26,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
27,7637,NYCC27,Miller,Daneek,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-27.jpg,https://www.facebook.com/daneek.miller,https://twitter.com/IDaneekMiller,IDaneekMiller,https://www.instagram.com/idaneekmiller/,idaneekmiller,democrat,council-member,male,https://council.nyc.gov/district-27,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
28,7739,NYCC28,Adams,Adrienne,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-28.jpg,https://www.facebook.com/adrienne.adams.54772,https://twitter.com/AdrienneEAdams,AdrienneEAdams,https://www.instagram.com/adrienneeadams/,adrienneeadams,democrat,council-member,female,https://council.nyc.gov/district-28,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
29,386,NYCC29,Koslowitz,Karen,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-29.jpg,https://www.facebook.com/Karen-Koslowitz-119475124337,https://twitter.com/cmkoslowitz,cmkoslowitz,https://www.instagram.com/kkoslowitz/,kkoslowitz,democrat,council-member,female,https://council.nyc.gov/district-29,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
30,7746,NYCC30,Holden,Robert,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-30.jpg,https://www.facebook.com/robert.holden.16,https://twitter.com/BobHoldenNYC,BobHoldenNYC,https://www.instagram.com/bobholdennyc/,bobholdennyc,republican,council-member,male,https://council.nyc.gov/district-30,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
31,7617,NYCC31,Richards,Donovan,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-31.jpg,https://www.facebook.com/drichardsnyccouncil,https://twitter.com/DRichards13,DRichards13,https://www.instagram.com/drichardsnyccouncil/,drichardsnyccouncil,democrat,council-member,male,https://council.nyc.gov/district-31,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
32,7510,NYCC32,Ulrich,Eric,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-32.jpg,https://www.facebook.com/ericulrich32,https://twitter.com/eric_ulrich,eric_ulrich,https://www.instagram.com/ericulrich32/,ericulrich32,republican,council-member,male,https://council.nyc.gov/district-32,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
33,7567,NYCC33,Levin,Stephen,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-33.jpg,https://www.facebook.com/stephen.levin1,https://twitter.com/StephenLevin33,StephenLevin33,https://www.instagram.com/stephenlevin9/,stephenlevin9,democrat,council-member,male,https://council.nyc.gov/district-33,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
34,7638,NYCC34,Reynoso,Antonio,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-34.jpg,https://www.facebook.com/Antonio4Council,https://twitter.com/CMReynoso34,CMReynoso34,https://www.instagram.com/cmreynoso34/,cmreynoso34,democrat,council-member,male,https://council.nyc.gov/district-34,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
